0.0276 0.013471  0.00562866 2.59445e-07
0.0277 0.0134131  0.00567072 2.50435e-07
0.0278 0.0133554  0.00571304 2.41426e-07
0.0279 0.0132979  0.00575563 2.32416e-07
0.028 0.0132408  0.00579848 2.23406e-07
0.0281 0.0131839  0.00584161 2.14396e-07
0.0282 0.0131273  0.005885 2.05386e-07
0.0283 0.0130709  0.00592866 1.96376e-07
0.0284 0.0130149  0.0059726 1.87367e-07
0.0285 0.0129591  0.0060168 1.78357e-07
0.0286 0.0129035  0.00606128 1.69347e-07
0.0287 0.0128483  0.00610603 1.60337e-07
0.0288 0.0127933  0.00615105 1.51327e-07
0.0289 0.0127386  0.00619635 1.42318e-07
0.029 0.0126842  0.00624193 1.33308e-07
0.0291 0.01263  0.00628778 1.24298e-07
0.0292 0.0125761  0.00633391 1.15288e-07
0.0293 0.0125225  0.00638032 1.06278e-07
0.0294 0.0124692  0.006427 9.72687e-08
0.0295 0.0124161  0.00647397 8.8259e-08
0.0296 0.0123634  0.00652121 7.92492e-08
0.0297 0.0123109  0.00656874 7.02395e-08
0.0298 0.0122587  0.00661654 6.12297e-08
0.0299 0.0122068  0.00666463 5.222e-08
0.03 0.0121551  0.006713 4.32103e-08
0.0301 0.0121038  0.00676165 3.42006e-08
0.0302 0.0120527  0.00681059 2.51908e-08
0.0303 0.0120019  0.0068598 1.61811e-08
0.0304 0.0119514  0.00690931 7.17143e-09
0.0305 0.0119012  0.00695909 -1.83827e-09
0.0306 0.0118512  0.00700916 -1.0848e-08
0.0307 0.0118016  0.00705951 -1.98577e-08
0.0308 0.0117522  0.00711015 -2.88673e-08
0.0309 0.0117031  0.00716108 -3.7877e-08
0.031 0.0116543  0.00721229 -4.68867e-08
0.0311 0.0116058  0.00726378 -5.58963e-08
0.0312 0.0115576  0.00731556 -6.4906e-08
0.0313 0.0115096  0.00736763 -7.39157e-08
0.0314 0.011462  0.00741998 -8.29253e-08
0.0315 0.0114146  0.00747262 -9.19349e-08
0.0316 0.0113675  0.00752554 -1.00945e-07
0.0317 0.0113207  0.00757875 -1.09954e-07
0.0318 0.0112742  0.00763224 -1.18964e-07
0.0319 0.011228  0.00768603 -1.27973e-07
0.032 0.011182  0.00774009 -1.36983e-07
0.0321 0.0111364  0.00779445 -1.45993e-07
0.0322 0.011091  0.00784908 -1.55002e-07
0.0323 0.0110459  0.00790401 -1.64012e-07
0.0324 0.0110011  0.00795922 -1.73021e-07
0.0325 0.0109566  0.00801471 -1.82031e-07
0.0326 0.0109124  0.00807049 -1.91041e-07
0.0327 0.0108684  0.00812655 -2.0005e-07
0.0328 0.0108248  0.00818289 -2.0906e-07
0.0329 0.0107814  0.00823952 -2.18069e-07
0.033 0.0107383  0.00829643 -2.27079e-07
0.0331 0.0106955  0.00835363 -2.36088e-07
0.0332 0.0106529  0.0084111 -2.45098e-07
0.0333 0.0106107  0.00846886 -2.54108e-07
0.0334 0.0105687  0.0085269 -2.63117e-07
0.0335 0.010527  0.00858522 -2.72127e-07
0.0336 0.0104856  0.00864382 -2.81136e-07
0.0337 0.0104445  0.0087027 -2.90146e-07
0.0338 0.0104036  0.00876186 -2.99155e-07
0.0339 0.0103631  0.00882129 -3.08165e-07
0.034 0.0103228  0.00888101 -3.17174e-07
0.0341 0.0102828  0.008941 -3.26184e-07
0.0342 0.010243  0.00900126 -3.35193e-07
0.0343 0.0102035  0.0090618 -3.44203e-07
0.0344 0.0101644  0.00912262 -3.53212e-07
0.0345 0.0101254  0.00918371 -3.62222e-07
0.0346 0.0100868  0.00924507 -3.71231e-07
0.0347 0.0100484  0.0093067 -3.8024e-07
0.0348 0.0100103  0.00936861 -3.8925e-07
0.0349 0.00997247  0.00943078 -3.98259e-07
0.035 0.0099349  0.00949322 -4.07269e-07
0.0351 0.00989761  0.00955593 -4.16278e-07
0.0352 0.00986057  0.00961891 -4.25288e-07
0.0353 0.00982381  0.00968215 -4.34297e-07
0.0354 0.00978731  0.00974566 -4.43307e-07
0.0355 0.00975107  0.00980944 -4.52316e-07
0.0356 0.0097151  0.00987347 -4.61325e-07
0.0357 0.00967939  0.00993777 -4.70335e-07
0.0358 0.00964393  0.0100023 -4.79344e-07
0.0359 0.00960874  0.0100671 -4.88354e-07
0.036 0.00957381  0.0101322 -4.97363e-07
0.0361 0.00953913  0.0101975 -5.06372e-07
0.0362 0.00950471  0.0102631 -5.15382e-07
0.0363 0.00947054  0.010329 -5.24391e-07
0.0364 0.00943663  0.0103951 -5.33401e-07
0.0365 0.00940297  0.0104614 -5.4241e-07
0.0366 0.00936956  0.010528 -5.51419e-07
0.0367 0.0093364  0.0105949 -5.60429e-07
0.0368 0.00930348  0.010662 -5.69438e-07
0.0369 0.00927082  0.0107293 -5.78447e-07
0.037 0.0092384  0.0107969 -5.87457e-07
0.0371 0.00920622  0.0108647 -5.96466e-07
0.0372 0.00917429  0.0109328 -6.05475e-07
0.0373 0.0091426  0.0110011 -6.14485e-07
0.0374 0.00911115  0.0110697 -6.23494e-07
0.0375 0.00907993  0.0111385 -6.32503e-07
0.0376 0.00904896  0.0112075 -6.41513e-07
0.0377 0.00901822  0.0112768 -6.50522e-07
0.0378 0.00898772  0.0113463 -6.59531e-07
0.0379 0.00895744  0.011416 -6.68541e-07
0.038 0.00892741  0.011486 -6.7755e-07
