0.05 0.00685473  0.0211195 -1.21431e-17
0.0501 0.00684254  0.0212073 -6.93889e-18
0.0502 0.00683042  0.0212951 0
0.0503 0.00681838  0.0213831 -1.73472e-17
0.0504 0.00680642  0.0214711 -1.73472e-17
0.0505 0.00679455  0.0215593 -1.04083e-17
0.0506 0.00678275  0.0216475 -6.93889e-18
0.0507 0.00677102  0.0217357 8.67362e-18
0.0508 0.00675938  0.0218241 3.46945e-18
0.0509 0.00674781  0.0219125 -8.67362e-18
0.051 0.00673632  0.022001 -6.93889e-18
0.0511 0.0067249  0.0220896 -1.56125e-17
0.0512 0.00671355  0.0221783 -2.42861e-17
0.0513 0.00670228  0.022267 -6.93889e-18
0.0514 0.00669108  0.0223558 -1.38778e-17
0.0515 0.00667996  0.0224447 -2.08167e-17
0.0516 0.0066689  0.0225336 -1.04083e-17
0.0517 0.00665792  0.0226226 -6.93889e-18
0.0518 0.00664701  0.0227117 -2.08167e-17
0.0519 0.00663616  0.0228009 -1.04083e-17
0.052 0.00662539  0.0228901 6.93889e-18
0.0521 0.00661468  0.0229794 6.93889e-18
0.0522 0.00660404  0.0230688 0
0.0523 0.00659347  0.0231582 6.93889e-18
0.0524 0.00658296  0.0232477 -1.04083e-17
0.0525 0.00657252  0.0233372 6.93889e-18
0.0526 0.00656215  0.0234269 -3.46945e-17
0.0527 0.00655184  0.0235166 0
0.0528 0.00654159  0.0236063 -2.42861e-17
0.0529 0.00653141  0.0236961 -2.08167e-17
0.053 0.00652129  0.023786 -6.93889e-18
0.0531 0.00651123  0.023876 0
0.0532 0.00650124  0.023966 0
0.0533 0.0064913  0.024056 -6.93889e-18
0.0534 0.00648143  0.0241462 -3.46945e-18
0.0535 0.00647162  0.0242363 -1.38778e-17
0.0536 0.00646186  0.0243266 0
0.0537 0.00645217  0.0244169 -1.38778e-17
0.0538 0.00644254  0.0245073 -1.38778e-17
0.0539 0.00643296  0.0245977 -1.38778e-17
0.054 0.00642344  0.0246882 6.93889e-18
0.0541 0.00641398  0.0247787 -6.93889e-18
0.0542 0.00640457  0.0248693 6.93889e-18
0.0543 0.00639522  0.0249599 -1.73472e-17
0.0544 0.00638593  0.0250506 -6.93889e-18
0.0545 0.00637669  0.0251414 -2.42861e-17
0.0546 0.00636751  0.0252322 3.46945e-18
0.0547 0.00635838  0.0253231 3.46945e-18
0.0548 0.0063493  0.025414 2.08167e-17
0.0549 0.00634028  0.025505 6.93889e-18
0.055 0.00633131  0.025596 -2.77556e-17
0.0551 0.00632239  0.0256871 6.93889e-18
0.0552 0.00631352  0.0257782 -3.46945e-17
0.0553 0.00630471  0.0258694 0
